Longitude,Latitude
103.269,1.245
103.271,1.241
103.277,1.23
103.279,1.226
103.285,1.216
103.287,1.212
103.289,1.209
103.293,1.201
103.295,1.198
103.299,1.19
103.301,1.188
103.303,1.184
103.306,1.18
103.309,1.174
103.312,1.169
103.316,1.162
103.317,1.161
103.319,1.156
103.322,1.151
103.326,1.144
103.328,1.141
103.33,1.137
103.334,1.13
103.338,1.123
103.342,1.117
103.345,1.113
103.346,1.109
103.351,1.102
103.353,1.098
103.356,1.092
103.359,1.088
103.361,1.085
103.365,1.078
103.367,1.074
103.368,1.072
103.371,1.067
103.374,1.062
103.377,1.057
103.381,1.05
103.383,1.047
103.385,1.043
103.387,1.04
103.391,1.033
103.393,1.029
103.394,1.026
103.399,1.019
103.401,1.015
103.405,1.009
103.407,1.005
103.409,1.002
103.413,0.996
103.417,0.992
103.419,0.99
103.424,0.985
103.428,0.983
103.433,0.98
103.44,0.977
103.443,0.976
103.451,0.974
103.453,0.974
103.458,0.973
103.467,0.973
103.473,0.972
103.485,0.971
103.49,0.971
103.495,0.97
103.499,0.97
103.507,0.969
103.51,0.969
103.514,0.969
103.522,0.968
103.528,0.967
103.531,0.967
103.537,0.967
103.54,0.966
103.548,0.966
103.551,0.966
103.559,0.965
103.563,0.965
103.566,0.965
103.571,0.966
103.578,0.966
103.582,0.966
103.586,0.967
103.597,0.968
103.597,0.968
103.6,0.968
103.605,0.969
103.612,0.97
103.615,0.971
103.623,0.972
103.627,0.972
103.63,0.973
103.633,0.973
103.646,0.975
103.649,0.975
103.656,0.976
103.66,0.977
103.664,0.977
103.674,0.979
103.686,0.98
103.688,0.981
103.692,0.981
103.7,0.982
103.705,0.983
103.71,0.984
103.714,0.984
103.721,0.985
103.725,0.986
103.732,0.987
103.736,0.987
103.74,0.988
103.746,0.989
103.751,0.989
103.754,0.99
103.762,0.991
103.765,0.991
103.767,0.992
103.776,0.993
103.78,0.994
103.783,0.994
103.791,0.995
103.795,0.996
103.797,0.996
103.805,0.997
103.809,0.998
103.812,0.998
103.819,0.999
103.824,1.0
103.826,1.0
103.834,1.001
103.838,1.002
103.841,1.002
103.849,1.003
103.85,1.003
103.856,1.004
103.86,1.005
103.867,1.005
103.87,1.006
103.873,1.006
103.881,1.007
103.885,1.008
103.889,1.008
103.896,1.009
103.9,1.01
103.903,1.01
103.91,1.011
103.913,1.012
103.918,1.012
103.921,1.013
103.928,1.013
103.932,1.014
103.936,1.014
103.943,1.015
103.946,1.016
103.95,1.016
103.957,1.018
103.961,1.019
103.968,1.022
103.971,1.023
103.974,1.025
103.98,1.028
103.984,1.03
103.987,1.032
103.992,1.036
103.995,1.038
103.998,1.04
104.004,1.044
104.007,1.046
104.01,1.049
104.016,1.053
104.019,1.055
104.021,1.057
104.027,1.061
104.03,1.063
104.039,1.069
104.042,1.072
104.051,1.078
104.053,1.08
104.056,1.082
104.062,1.086
104.065,1.088
104.068,1.09
104.074,1.094
104.077,1.097
104.082,1.101
104.088,1.105
104.091,1.107
104.097,1.111
104.099,1.113
104.103,1.115
104.111,1.121
104.113,1.123
104.12,1.128
104.122,1.13
104.124,1.132
104.129,1.138
104.132,1.141
104.137,1.149
104.14,1.155
104.143,1.162
104.145,1.165
104.146,1.168
104.148,1.175
104.15,1.178
104.151,1.181
104.154,1.188
104.155,1.191
104.157,1.193
104.16,1.201
104.161,1.204
104.163,1.207
104.164,1.21
104.167,1.216
104.169,1.219
104.17,1.222
104.173,1.228
104.175,1.231
104.177,1.234
104.18,1.241
104.181,1.244
104.183,1.247
104.185,1.252
104.187,1.255
104.188,1.258
104.191,1.264
104.193,1.266
104.194,1.269
104.197,1.275
104.198,1.277
104.2,1.28
104.202,1.286
104.204,1.289
104.205,1.292
104.208,1.297
104.21,1.3
104.212,1.303
104.215,1.308
104.217,1.311
104.219,1.313
104.223,1.318
104.225,1.32
104.227,1.323
104.231,1.328
104.233,1.33
104.235,1.332
104.237,1.335
104.242,1.339
104.244,1.342
104.246,1.344
104.25,1.349
104.252,1.351
104.254,1.353
104.258,1.358
104.26,1.36
104.262,1.363
104.264,1.369
104.266,1.378
104.266,1.38
104.265,1.384
104.264,1.39
104.263,1.393
104.263,1.395
104.262,1.401
104.261,1.404
104.26,1.407
104.259,1.412
104.258,1.415
104.257,1.418
104.257,1.421
104.255,1.426
104.255,1.429
104.254,1.431
104.253,1.437
104.252,1.439
104.251,1.442
104.25,1.447
104.249,1.45
104.249,1.452
104.247,1.457
104.246,1.46
104.245,1.463
104.242,1.467
104.241,1.47
104.239,1.472
104.238,1.475
104.235,1.479
104.234,1.481
104.231,1.485
104.229,1.488
104.227,1.491
104.224,1.495
104.222,1.497
104.221,1.499
104.216,1.502
104.214,1.504
104.211,1.505
104.207,1.507
104.204,1.508
104.201,1.509
104.196,1.511
104.194,1.511
104.191,1.512
104.186,1.514
104.184,1.515
104.178,1.517
104.176,1.518
104.174,1.519
104.171,1.52
104.166,1.522
104.163,1.522
104.161,1.523
104.155,1.525
104.153,1.526
104.15,1.527
104.145,1.529
104.143,1.53
104.14,1.531
104.135,1.533
104.133,1.533
104.13,1.534
104.125,1.536
104.123,1.537
104.12,1.538
104.115,1.54
104.113,1.541
104.108,1.543
104.105,1.543
104.103,1.544
104.098,1.546
104.095,1.547
104.092,1.548
104.087,1.548
104.084,1.548
104.082,1.548
104.076,1.545
104.074,1.544
104.072,1.542
104.07,1.541
104.065,1.537
104.059,1.532
104.057,1.531
104.052,1.524
104.051,1.522
104.048,1.517
104.047,1.515
104.045,1.51
104.044,1.507
104.043,1.505
104.042,1.502
104.04,1.497
104.039,1.495
104.036,1.487
104.035,1.485
104.034,1.482
104.032,1.477
104.03,1.473
104.028,1.468
104.026,1.464
104.024,1.459
104.022,1.455
104.02,1.45
104.018,1.446
104.017,1.442
104.015,1.437
104.012,1.431
104.011,1.429
104.01,1.427
104.008,1.42
104.007,1.419
104.004,1.413
104.003,1.411
104.001,1.404
104.0,1.402
103.997,1.396
103.997,1.394
103.994,1.388
103.993,1.387
103.991,1.38
103.988,1.374
103.987,1.372
103.983,1.362
103.983,1.361
103.981,1.358
103.981,1.357
103.981,1.356
103.981,1.356
103.981,1.355
103.982,1.355
103.983,1.358
103.984,1.36
103.984,1.36
103.984,1.36
103.985,1.361
103.985,1.362
103.985,1.362
103.985,1.363
103.985,1.363
103.986,1.364
103.986,1.364
103.986,1.365
103.986,1.366
103.987,1.368
103.988,1.368
103.989,1.368
103.989,1.368
103.989,1.368
103.989,1.368
103.99,1.367
103.99,1.367
103.991,1.367
103.991,1.367
103.991,1.367
103.991,1.367
103.991,1.367
103.992,1.367
103.993,1.366
103.994,1.366
103.994,1.366
103.994,1.366
103.995,1.366
103.995,1.365
103.996,1.365
103.994,1.361
103.994,1.361
103.993,1.361
103.993,1.36
103.993,1.36
103.993,1.36
103.993,1.36
103.993,1.359
103.993,1.359
103.993,1.359
103.993,1.358
103.992,1.358
103.992,1.358
103.993,1.357
103.993,1.357
103.993,1.357
103.993,1.357
103.993,1.357
103.993,1.357
103.993,1.357
