Longitude,Latitude
104.103,2.052
104.103,2.047
104.102,2.039
104.102,2.035
104.102,2.031
104.102,2.023
104.102,2.019
104.102,2.015
104.103,2.007
104.104,2.004
104.105,1.999
104.107,1.991
104.108,1.987
104.11,1.98
104.111,1.976
104.111,1.972
104.112,1.969
104.114,1.961
104.115,1.957
104.116,1.954
104.118,1.946
104.119,1.942
104.12,1.938
104.122,1.931
104.123,1.927
104.124,1.924
104.126,1.916
104.127,1.912
104.128,1.909
104.129,1.904
104.131,1.897
104.132,1.893
104.133,1.889
104.135,1.883
104.136,1.878
104.137,1.875
104.139,1.867
104.14,1.864
104.142,1.856
104.143,1.852
104.145,1.845
104.146,1.841
104.148,1.838
104.153,1.827
104.155,1.824
104.157,1.822
104.161,1.815
104.163,1.811
104.165,1.809
104.17,1.802
104.172,1.799
104.174,1.796
104.178,1.79
104.18,1.787
104.186,1.777
104.187,1.775
104.19,1.771
104.194,1.765
104.196,1.762
104.198,1.759
104.202,1.753
104.204,1.75
104.208,1.745
104.213,1.738
104.219,1.729
104.224,1.72
104.226,1.714
104.226,1.704
104.226,1.701
104.224,1.695
104.222,1.69
104.222,1.687
104.22,1.681
104.218,1.676
104.216,1.67
104.215,1.668
104.213,1.665
104.21,1.661
104.208,1.659
104.2,1.655
104.197,1.655
104.194,1.654
104.187,1.652
104.178,1.651
104.176,1.65
104.168,1.647
104.163,1.644
104.159,1.64
104.155,1.637
104.151,1.633
104.147,1.629
104.143,1.626
104.14,1.624
104.139,1.622
104.136,1.62
104.132,1.616
104.128,1.613
104.124,1.609
104.119,1.605
104.115,1.602
104.113,1.6
104.109,1.596
104.107,1.594
104.103,1.591
104.101,1.589
104.098,1.587
104.096,1.585
104.092,1.582
104.09,1.58
104.088,1.578
104.084,1.575
104.082,1.573
104.08,1.571
104.076,1.568
104.074,1.566
104.072,1.564
104.068,1.559
104.066,1.557
104.065,1.555
104.062,1.55
104.061,1.547
104.059,1.542
104.058,1.54
104.057,1.537
104.056,1.535
104.054,1.529
104.052,1.527
104.052,1.524
104.049,1.519
104.048,1.517
104.047,1.514
104.045,1.509
104.044,1.507
104.042,1.501
104.041,1.499
104.04,1.496
104.039,1.494
104.037,1.489
104.036,1.487
104.035,1.485
104.033,1.48
104.032,1.478
104.03,1.473
104.029,1.471
104.028,1.468
104.026,1.464
104.025,1.462
104.024,1.46
104.023,1.456
104.022,1.454
104.021,1.452
104.019,1.447
104.018,1.445
104.016,1.441
104.015,1.439
104.015,1.437
104.013,1.433
104.011,1.428
104.009,1.423
104.008,1.421
104.006,1.417
104.005,1.415
104.004,1.413
104.003,1.409
104.002,1.407
104.001,1.405
104.0,1.402
103.999,1.4
103.998,1.398
103.997,1.396
103.996,1.392
103.995,1.39
103.994,1.388
103.993,1.385
103.992,1.382
103.991,1.381
103.989,1.377
103.989,1.376
103.988,1.373
103.988,1.373
103.985,1.367
103.984,1.363
103.983,1.361
103.982,1.36
103.982,1.359
103.981,1.358
103.981,1.358
103.981,1.357
103.981,1.356
103.981,1.355
103.981,1.354
103.981,1.354
103.981,1.354
103.982,1.353
103.982,1.353
103.982,1.353
103.982,1.353
103.982,1.353
103.982,1.354
103.982,1.354
103.982,1.354
103.982,1.354
103.983,1.354
103.983,1.354
103.983,1.354
103.983,1.354
103.983,1.354
103.983,1.354
103.983,1.354
103.983,1.353
103.983,1.353
103.983,1.353
103.983,1.353
103.983,1.353
103.983,1.353
103.983,1.353
103.983,1.353
103.984,1.353
103.984,1.353
103.984,1.353
103.984,1.353
103.984,1.353
103.984,1.353
